Species_English,Species_status,n,prop
Dolichoderus_thoracicus,Exotic,31,0.6
Paratrechina_longicornis,Exotic,5,0.1
Tapinoma_melanocephalum,Exotic,5,0.1
Technomyrmex_albipes,Exotic,4,0.08
Polyrhachis_dives,Native,2,0.04
Technomyrmex_brunneus,Exotic,2,0.04
Anoplolepis_gracilipes,Exotic,1,0.02
Nylanderia_sp,Native,1,0.02
Trichomyrmex_destructor,Exotic,1,0.02
